      table_name      |         column_name         |        data_type         | is_nullable |        column_default        
----------------------+-----------------------------+--------------------------+-------------+------------------------------
 apportionments       | id                          | uuid                     | NO          | gen_random_uuid()
 apportionments       | building_id                 | uuid                     | NO          | 
 apportionments       | unit_number                 | text                     | YES         | 
 apportionments       | percentage                  | numeric                  | YES         | 
 apportionments       | share_fraction              | text                     | YES         | 
 apportionments       | notes                       | text                     | YES         | 
 apportionments       | created_at                  | timestamp with time zone | YES         | now()
 apportionments       | updated_at                  | timestamp with time zone | YES         | now()
 budgets              | id                          | uuid                     | NO          | uuid_generate_v4()
 budgets              | building_id                 | uuid                     | YES         | 
 budgets              | document_id                 | uuid                     | YES         | 
 budgets              | period                      | text                     | NO          | 
 budgets              | start_date                  | date                     | YES         | 
 budgets              | end_date                    | date                     | YES         | 
 budgets              | total_amount                | numeric                  | YES         | 
 budgets              | demand_date_1               | date                     | YES         | 
 budgets              | demand_date_2               | date                     | YES         | 
 budgets              | year_end_date               | date                     | YES         | 
 budgets              | budget_type                 | text                     | YES         | 
 budgets              | agency_id                   | uuid                     | YES         | 
 budgets              | schedule_id                 | uuid                     | YES         | 
 budgets              | year                        | integer                  | YES         | 
 budgets              | name                        | text                     | YES         | 
 budgets              | confidence_score            | numeric                  | YES         | 1.00
 budgets              | created_at                  | timestamp with time zone | YES         | now()
 budgets              | year_start                  | date                     | YES         | 
 budgets              | year_end                    | date                     | YES         | 
 building_contractors | id                          | uuid                     | NO          | gen_random_uuid()
 building_contractors | building_id                 | uuid                     | NO          | 
 building_contractors | service_type                | text                     | YES         | 
 building_contractors | company_name                | text                     | YES         | 
 building_contractors | contact_name                | text                     | YES         | 
 building_contractors | contact_email               | text                     | YES         | 
 building_contractors | contact_phone               | text                     | YES         | 
 building_contractors | contract_start_date         | date                     | YES         | 
 building_contractors | contract_end_date           | date                     | YES         | 
 building_contractors | contract_value              | numeric                  | YES         | 
 building_contractors | status                      | text                     | YES         | 'active'::text
 building_contractors | notes                       | text                     | YES         | 
 building_contractors | created_at                  | timestamp with time zone | YES         | now()
 building_contractors | updated_at                  | timestamp with time zone | YES         | now()
 building_contractors | retender_status             | text                     | YES         | 'not_scheduled'::text
 building_contractors | retender_due_date           | date                     | YES         | 
 building_contractors | next_review_date            | date                     | YES         | 
 building_contractors | renewal_notice_period       | interval                 | YES         | '90 days'::interval
 building_documents   | id                          | uuid                     | NO          | gen_random_uuid()
 building_documents   | building_id                 | uuid                     | YES         | 
 building_documents   | unit_id                     | uuid                     | YES         | 
 building_documents   | leaseholder_id              | uuid                     | YES         | 
 building_documents   | file_name                   | text                     | YES         | 
 building_documents   | file_url                    | text                     | YES         | 
 building_documents   | type                        | text                     | YES         | 'Letter'::text
 building_documents   | created_at                  | timestamp with time zone | YES         | now()
 building_documents   | confidence                  | text                     | YES         | 
 building_documents   | suggested_action            | text                     | YES         | 
 building_documents   | auto_linked_building_id     | uuid                     | YES         | 
 building_documents   | full_text                   | text                     | YES         | 
 building_documents   | content_summary             | text                     | YES         | 
 building_documents   | confidence_level            | text                     | YES         | 
 building_documents   | updated_at                  | timestamp with time zone | YES         | now()
 building_documents   | is_unlinked                 | boolean                  | YES         | false
 building_documents   | summary                     | text                     | YES         | 
 building_documents   | extracted                   | jsonb                    | YES         | '{}'::jsonb
 building_documents   | name                        | text                     | YES         | 
 building_documents   | category                    | text                     | NO          | 'other'::text
 building_documents   | file_path                   | text                     | YES         | 
 building_documents   | file_size                   | bigint                   | NO          | 0
 building_documents   | uploaded_at                 | timestamp with time zone | NO          | now()
 building_documents   | uploaded_by                 | text                     | NO          | 'Unknown'::text
